question,final_answer,reasoning_summary,winner_provider,verified,entropy,disagreement,risk,concept_cluster,difficulty,subject,source
What is 6 * 7 = 42,42,Memory replay: Parsed arithmetic expression `6 * 7` and evaluated directly.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
If x+2=5 then x=3,3,Used equation RHS fallback from prompt structure.,mini,True,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
What is 6*7?,42,Parsed arithmetic expression `6*7` and evaluated directly.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
Explain E1 mechanism in tert-butyl bromide.,0,Applied retrieval-guided heuristic reasoning. Key hint: Linear Equations: Solve by isolating variables and preserving equality across operations.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,easy,math,mini_shadow_logs
"Let lpha and eta be real numbers such that -\pi/4 < eta < 0 < lpha < \pi/4. If \sin(lpha+eta) = 1/3 and \cos(lpha-eta) = 2/3, then find the greatest integer less than or equal to ( (\sinlpha)/(\coseta) + (\coseta)/(\sinlpha) + (\coslpha)/(\sineta) + (\sineta)/(\coslpha) )^2.",0.3333333333333333,Parsed arithmetic expression `1/3` and evaluated directly.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|chemistry|equilibrium|jee,hard,math,mini_shadow_logs
"If y(x) is the solution of the differential equation x dy - (y^2 - 4y) dx = 0 for x > 0, with y(1) = 2, and the slope of the curve y = y(x) is never zero, then find the value of 10 y(\sqrt{2}).",-2,Parsed arithmetic expression `2 - 4` and evaluated directly.,mini,False,0.0,0.0,1.0,trap|jee|math|quadratic|roots|equation|algebra|chemistry,hard,math,mini_shadow_logs
Find the greatest integer less than or equal to \int_{1}^{2} \log_2(x^3 + 1) dx + \int_{1}^{\log_2 9} (2^x - 1)^{1/3} dx.,4,Parsed arithmetic expression `3 + 1` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|jee|trap|verification,medium,math,mini_shadow_logs
Find the product of all positive real values of x satisfying the equation x^{(16(\log_5 x)^3 - 68 \log_5 x)} = 5^{-16}.,-65,Parsed arithmetic expression `3 - 68` and evaluated directly.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
"If eta = \lim_{x 	o 0} rac{e^{x^3} - (1-x^3)^{1/3} + ((1-x^2)^{1/2} - 1)\sin x}{x \sin^2 x}, then find the value of 6eta.",0.3333333333333333,Parsed arithmetic expression `1/3` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|equation|algebra|jee|trap|verification,hard,math,mini_shadow_logs
"Let eta be a real number. Consider the matrix A = [[eta,0,1],[2,1,-2],[3,1,-2]]. If A^7 - (eta - 1)A^6 - eta A^5 is a singular matrix, then find the value of 9eta.","[[eta,0,1],[2,1,-2],[3,1,-2]]. If A^7 - (eta - 1)A^6 - eta A^5 is a singular matrix, then find the value of 9eta.",Used equation RHS fallback from prompt structure.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,medium,math,mini_shadow_logs
"Consider the hyperbola x^2/100 - y^2/64 = 1 with foci at S and S1. Let P be a point in first quadrant. Let angle SPS1 = lpha, with lpha < \pi/2. Define \delta as the distance of P from the line SP1 and eta = S1P. Find the greatest integer less than or equal to (eta \delta / 9) sin(lpha/2).",0.02,Parsed arithmetic expression `2/100` and evaluated directly.,mini,False,0.0,0.0,1.0,math|quadratic|roots|physics|kinematics|units|equation|algebra,medium,math,mini_shadow_logs
"Consider f(x) = x^2 + 5/12 and g(x) = 2(1 - 4|x|/3) for |x| <= 3/4, and 0 otherwise. If lpha is the area of region {(x,y) : |x| <= 3/4, 0 <= y <= min(f(x), g(x))}, then find 9lpha.",2.4166666666666665,Parsed arithmetic expression `2 + 5/12` and evaluated directly.,mini,False,0.0,0.0,1.0,math|equation|algebra|quadratic|roots|jee|trap|verification,hard,math,mini_shadow_logs
